Scientific_Name	Common_Name
Amphiprion akindynos	barrier reef anemonefish
Bucephala islandica	Barrow's goldeneye
Platycephalus indicus	bartail flathead
Centrolene hesperium	basecamp giant glass frog
Leptodactylus mystaceus	basin white-lipped frog
Kentrocapros aculeatus	basketfish
Diastobranchus capensis	basketwork eel
Chiasmocleis bassleri	Bassler's humming frog
Myliobatis californica	bat eagle ray
Otocyon megalotis	bat-eared fox
Labeo bata	bata
Neotragus batesi	Bate's dwarf antelope
Nycteris arge	Bate's slit-faced bat
Phrynobatrachus batesii	Bates' river frog
Nectophryne batesii	Bates' tree toad
Halieutaea stellata	batfish
Mesobius antipodum	bathypelagic rattail
Coris batuensis	Batu coris
Catopuma badia	bay cat
Cephalophus dorsalis	bay duiker
Lepidogobius lepidus	bay goby
Syngnathus leptorhynchus	bay pipefish
Sillago ingenuua	bay sillago
Petenia splendida	bay snook
Castanozoster thoracicus	Bay-chested warbling-finch
Agelaioides badius	bay-winged cowbird
Enchelycore bayeri	Bayer's moray
Martes foina	beach marten
Hylomyscus aeta	Beaded wood mouse
Hippichthys penicillus	beady pipefish
Leuciscus burdigalensis	beaked dace
Gonorynchus greyi	beaked salmon
Dendrophryniscus proboscideus	beaked toad
Sacalia bealei	Beal's-eyed turtle
Serrivomer beanii	Bean's sawtoothed eel
Criniger barbatus	bearded bulbul
Pseudancistrus barbatus	bearded catfish
Johnius amblycephalus	bearded croaker
Pseudoplesiops revellei	bearded dottyback
Sus barbatus	bearded pig
Tetraroge barbata	bearded roguefish
Erignathus barbatus	bearded seal
Onychostoma barbatum	bearded shoveljaw carp
Taenioides cirratus	bearded worm goby
Polymixia lowei	beardfish
Cyclocheilichthys apogon	beardless barb
Glauconycteris beatrix	Beatrix's bat
Stegastes flavilatus	beaubrummel damselfish
Stegastes leucostictus	beaugregory
Parioglossus formosus	beautiful hover goby
Carpodacus pulcherrimus	Beautiful rosefinch
Cyprinella formosa	beautiful shiner
Myotis bechsteinii	Bechstein's bat
Anomaloglossus beebei	Beebe's rocket frog
Anomalurus beecrofti	Beecroft's scaly-tailed squirrel
Dorcatragus megalotis	beira
Nothobranchius kuhntae	Beira killifish
Johnius belangerii	Belanger's croaker
Melidectes belfordi	Belford's melidectes
Lemniscomys bellieri	Bellier's striped grass mouse
Belligobio	Belligobio nummifer
Belligobio	Belligobio pengxianensis
Myuchelys georgesi	Bellinger river turtle
Kinixys belliana	Bells hingeback tortoise
Kurixalus baliogaster	belly-spotted frog
Eviota storthynx	belly-spotted pygmy-goby
Megaceryle alcyon	belted kingfisher
Stethojulis balteata	belted wrasse
Huso huso	beluga
Delphinapterus leucas	beluga whale
Stumpffia gimmeli	Benavony stump-toed frog
Botia dario	Bengal loach
Abudefduf bengalensis	Bengal sergeant
Nycticebus bengalensis	Bengal slow loris
Lutjanus bengalensis	Bengal snapper
Cynoglossus cynoglossus	Bengal tongue sole
Brevitrygon imbricata	Bengal whipray
Boana benitezi	Benitez's treefrog
Astylosternus batesi	Benito River night frog
Cheilopogon pinnatibarbatus	Bennett's flyingfish
Canthigaster bennetti	Bennett's sharpnose puffer
Hygophum benoiti	Benoit's lanternfish
Upeneus japonicus	Bensasi goatfish
Cyclothone acclinidens	benttooth bristlemouth
Berylmys berdmorei	Berdmore's Berylmys
Dendropsophus leucophyllatus	Bereis' treefrog
Hyalinobatrachium bergeri	Berger's glass frog
Scotonycteris bergmansi	Bergmans's fruit bat
Coregonus laurettae	Bering cisco
Hippoglossoides robustus	Bering flounder
Anarhichas orientalis	Bering wolffish
Holacanthus bermudensis	Bermuda blue angelfish
Kyphosus sectatrix	Bermuda sea chub
Gyrinophilus gulolineatus	Berry Cave salamander
Dendropsophus berthalutzae	Bertha's treefrog
Microcebus berthae	Berthe's mouse lemur
Accipiter virgatus	besra
Dendropsophus pelidna	Betania treefrog
Plethodontohyla brevipes	Betsileo digging frog
Cygnus bewickii	Bewick's swan
Pseudois nayaur	bharal
Phrynomedusa marginata	bi-colored leaf frog
Prionurus biafraensis	Biafra doctorfish
Xenopus calcaratus	Biafran clawed frog
Epixerus wilsoni	Biafran palm squirrel
Nandopsis tetracanthus	biajaca
Phylloscopus valentini	Bianchi's warbler
Glauconycteris egeria	Bibundi butterfly bat
Centropyge bicolor	bicolor angelfish
Ecsenius bicolor	bicolor blenny
Chromis margaritifer	bicolor chromis
Labroides bicolor	bicolor cleaner wrasse
Stegastes partitus	bicolor damselfish
Parupeneus barberinoides	bicolor goatfish
Cetoscarus bicolor	bicolor parrotfish
Alepocephalus bicolor	bicolor slickhead
Coendou bicolor	bicolor-spined porcupine
Oecomys bicolor	bicolored arboreal rice rat
Bidyanus bidyanus	Bidyan perch
Eptesicus fuscus	big brown bat
Promops centralis	big crested mastiff bat
Suggrundus meerdervoortii	big eyed flathead
Nyctinomops macrotis	big free-tailed bat
Collichthys lucidus	big head croaker
Gephyroberyx japonicus	big roughy
Raja binoculata	big skate
Hippocampus abdominalis	big-belly seahorse
Histiotus macrotus	big-eared brown bat
Pteropus macrotis	Big-eared flying fox
Rhinolophus macrotis	Big-eared Horseshoe Bat
Didelphis aurita	big-eared opossum
Malacomys longipes	big-eared swamp rat
Ingerophrynus macrotis	big-eared toad
Siniperca knerii	big-eye mandarin fish
Tepuihyla exophthalma	big-eye slender-legged treefrog
Ranoidea exophthalmia	big-eyed treefrog
Aspiorhynchus laticeps	big-head schizothoracin
Platysternon megacephalum	big-headed turtle
Cheiloprion labiatus	big-lip damsel
Parma oligolepis	big-scale parma
Atherina boyeri	big-scale sand smelt
Tribolodon hakonensis	big-scaled redfin
Kurixalus eiffingeri	big-thumbed treefrog
Rajella bigelowi	Bigelow's ray
Sphyraena forsteri	bigeye barracuda
Nectamia bandanensis	bigeye cardinalfish
Hybopsis amblops	bigeye chub
Pennahia anea	bigeye croaker
Trimma macrophthalmum	bigeye dwarf goby
Moxostoma ariommum	bigeye jumprock
Protomyctophum thompsoni	bigeye lanternfish
Lates mariae	bigeye lates
Woodsia nonsuchae	bigeye lightfish
Trematomus tokarevi	bigeye notothen
Bathyagonus pentacanthus	bigeye poacher
Selar crumenophthalmus	bigeye scad
Hexanchus nakamurai	bigeye sixgill shark
Okamejei meerdervoortii	bigeye skate
Bajacalifornia megalops	bigeye smooth-head
Lutjanus lutjanus	bigeye snapper
Alopias superciliosus	bigeye thresher
Caranx sexfasciatus	bigeye trevally
Thunnus obesus	bigeye tuna
Lycodes cortezianus	bigfin eelpout
Symbolophorus californiensis	bigfin lanternfish
Gonorynchus abbreviatus	bighead beaked sandfish
Hypophthalmichthys nobilis	bighead carp
Clarias macrocephalus	bighead catfish
Collichthys niveatus	bighead croaker
Ponticola kessleri	bighead goby
Holtbyrnia anomala	bighead searsid
Ovis canadensis	bighorn sheep
Caristius macropus	bigmough manefish
Ictiobus cyprinellus	bigmouth buffalo
Hemitripterus bolini	bigmouth sculpin
Hybopsis dorsalis	bigmouth shiner
Myersina macrostoma	bigmouth shrimpgoby
Gobiomorus dormitor	bigmouth sleeper
Naso vlamingii	bignose unicornfish
Melanolagus bericoides	bigscale deepsea smelt
Percina macrolepida	bigscale logperch
Microthrissa congica	bigscale pellonuline
Dipturus macrocauda	bigtail skate
Pellonula vorax	bigtoothed pellonula
Tariqlabeo bicornis	bihorned barbel
Macrotis lagotis	bilby
Pleurosicya bilobata	bilobed ghost goby
Arctictis binturong	binturong
Proceratophrys boiei	Bioe's frog
Arthroleptis bioko	Bioko squeaker frog
Dryophytes avivoca	bird-voiced treefrog
Cyclichthys orbicularis	birdbeak burrfish
Deania calcea	birdbeak dogfish
Boana bischoffi	Bischoff's treefrog
Lonchura melaena	Bismarck munia
Bison bison	Bison bison athabascae
Bison bison	Bison bison bison
Bison bonasus	Bison bonasus caucasicus
Rhodeus amarus	bitterling
Chelonodontops pleurospilus	blaasop beauty
Enchelyurus flavipes	black & yellow blenny
Megalobrama terminalis	black Amur bream
Rhynchocyon petersi	black and rufous elephant shrew
Macolor niger	black and white snapper
Osteoglossum ferreirai	black arawana
Melanocharis nigra	Black berrypecker
Ixobrychus flavicollis	black bittern
Enchelyurus ater	black blenny
Lethrinus semicinctus	black blotch emperor
Eumops auripendulus	black bonneted bat
Ameiurus melas	black bullhead
Oryzias nigrimas	black buntingi
Melanosuchus niger	black caiman
Sapajus nigritus	Black capuchin
Apogonichthyoides melas	black cardinalfish
Mylopharyngodon piceus	black carp
Callionymus beniteguri	black caudal dragonet
Ecsenius namiyei	black combtooth blenny
Paraplagusia japonica	black cow-tongue
Pomoxis nigromaculatus	black crappie
Nomascus concolor	Black crested gibbon
Lophocebus aterrimus	Black crested mangabey
Balearica pavonina	black crowned-crane
Dascyllus flavicaudus	black damselfish
Centroscyllium fabricii	black dogfish
Parapercis millepunctata	black dotted sand perch
Dicrurus macrocercus	black drongo
Pogonias cromis	black drum
Cephalophus niger	black duiker
Pseudoeurycea melanomolga	black false brook salamander
Cubiceps baxteri	black fathead
Pelophryne misera	black flathead toad
Pteropus alecto	black flying fox
Aeromys tephromelas	black flying squirrel
Francolinus francolinus	black francolin
Nesiarchus nasutus	black gemfish
Apteronotus albifrons	black ghost
Ratufa bicolor	black giant squirrel
Gobius niger	black goby
Lyrurus tetrix	black grouse
Eptatretus deani	black hagfish
Spizaetus tyrannus	black hawk-eagle
Sugomel niger	Black honeyeater
Alouatta caraya	black howler monkey
Caranx lugubris	black jack
Milvus migrans	black kite
Tylototriton asperrimus	black knobby newt
Istiompax indica	black marlin
Poecilocharax weitzmani	black morpho tetra
Lonchura stygia	Black munia
Muntiacus crinifrons	black muntjac
Allocyttus niger	black oreo
Embiotoca jacksoni	black perch
Hyphessobrycon megalopterus	black phantom tetra
Ochotona nigritia	black pika
Brachyplatystoma capapretum	black piraiba
Parastromateus niger	black pomfret
Acanthopagrus schlegelii	black porgy
Xiphister atropurpureus	black prickleback
Prochilodus nigricans	black prochilodus
Rattus rattus	black rat
Diceros bicornis	black rhinoceros
Notothenia coriiceps	black rockcod
Sebastes melanops	black rockfish
Pethia nigrofasciata	black ruby barb
Coccorella atrata	black sabretooth
Aneides flavipunctatus	black salamander
Aphanopus carbo	black scabbardfish
Scorpaena porcus	black scorpionfish
Thamnaconus modestus	black scraper
Salmo labrax	Black sea salmon
Clupeonella cultriventris	Black Sea sprat
Centropristis striata	black seabass
Spondyliosoma cantharus	black seabream
Labeo chrysophekadion	black sharkminnow
Pseudopungtungia nigra	black shiner
Rynchops niger	black skimmer
Nealotus tripes	black snake mackerel
Rhinopithecus bieti	black snub-nosed monkey
Alsodes nodosus	black spiny-chest frog
Ciconia nigra	black stork
Cygnus atratus	black swan
Gymnocorymbus ternetzi	black tetra
Cheracebus lugens	black titi
Anaxyrus exsul	black toad
Melichthys niger	black triggerfish
Arenaria melanocephala	black turnstone
Aegypius monachus	black vulture
Coragyps atratus	black vulture
Osphranter bernardus	black wallaroo
Bathylaco nigricans	black warrior
Telmatobius niger	black water frog
Connochaetes gnou	black wildebeest
Hirundichthys rondeletii	black wing flyingfish
Halichoeres adustus	black wrasse
Neoglyphidodon nigroris	black-and-gold chromis
Chromis atripectoralis	black-axil chromis
Ophiclinus gracilis	black-back snake-blenny
Leptodactylus melanonotus	black-backed frog
Canis mesomelas	black-backed jackal
Ceyx erithaca	Black-backed kingfisher
Chromis retrofasciata	black-bar chromis
Chiropotes satanas	black-bearded saki
Taphozous melanopogon	black-bearded tomb bat
Lophius budegassa	black-bellied angler
Melonycteris melanops	black-bellied fruit bat
Cricetus cricetus	black-bellied hamster
Coccyzus erythropthalmus	black-billec cuckoo
Tetrao parvirostris	black-billed capercaillie
Diodon liturosus	black-blotched porcupinefish
Odontophorus leucolaemus	black-breasted wood quail
Cyclemys atripons	black-bridged leaf turtle
Thalassarche melanophris	Black-browed albatross
Theloderma horridum	black-brown warted frog
Pycnonotus melanicterus	black-capped bulbul
Poecile atricapillus	Black-capped chickadee
Halcyon pileata	black-capped kingfisher
Pyrrhura rupicola	black-capped parakeet
Geranoaetus melanoleucus	black-chested buzzard-eagle
Circaetus pectoralis	black-chested snake-eagle
Spizella atrogularis	Black-chinned sparrow
Busarellus nigricollis	black-collared hawk
Gracupica nigricollis	black-collared starling
Nycticorax nycticorax	black-crowned night-heron
Epinephelus stictus	black-dotted grouper
Litoria nigropunctata	black-dotted treefrog
Peromyscus melanotis	black-eared mouse
Nannosciurus melanotis	black-eared squirrel
Agalychnis moreletii	black-eyed leaf frog
Leptobrachium nigrops	black-eyed litter frog
Exerodonta melanomma	black-eyed treefrog
Trochalopteron affine	black-faced laughingthrush
Chionis minor	black-faced sheathbill
Platalea minor	black-faced spoonbill
Felis nigripes	black-footed cat
Mustela nigripes	black-footed ferret
Semnopithecus hypoleucos	black-footed gray langur
Bdeogale nigripes	black-footed mongoose
Cephalophus nigrifrons	black-fronted duiker
Brachypodius atriceps	black-headed bulbul
Chroicocephalus ridibundus	black-headed gull
Pteruthius rufiventer	black-headed shrike-babbler
Heterophasia melanoleuca	black-headed sibia
Aegithalos bonvaloti	Black-headed tit
Rissa tridactyla	black-legged kittiwake
Chunga burmeisteri	Black-legged seriema
Myersina nigrivirgata	black-line shrimp-goby
Ambastaia nigrolineata	black-lined loach
Ochotona curzoniae	black-lipped pika
Oriolus chinensis	black-naped oriole
Grus nigricollis	black-necked crane
Podiceps nigricollis	black-necked grebe
Himantopus mexicanus	black-necked stilt
Aerodramus maximus	black-nest swiftlet
Kaupichthys atronasus	black-nostril false moray
Callithrix penicillata	black-pencilled marmoset
Amyda cartilaginea	black-rayed soft-shelled turtle
Pygathrix nigripes	Black-shanked douc langur
Litoria tornieri	black-shinned rocketfrog
Acanthurus bariene	black-spot surgeonfish
Chaetodon nigropunctatus	black-spotted butterflyfish
Trachycephalus nigromaculatus	black-spotted casque-headed treefrog
Spilocuscus rufoniger	black-spotted cuscus
Butis melanostigma	black-spotted gudgeon
Notophthalmus meridionalis	black-spotted newt
Staurois guttatus	black-spotted rock frog
Pachytriton brevipes	black-spotted stout newt
Erythrogenys gravivox	Black-streaked Scimitar-babbler
Galaxiella nigrostriata	black-stripe minnow
Pempheris schwenkii	black-stripe sweeper
Sapajus libidinosus	black-striped capuchin
Sylvirana nigrovittata	black-striped frog
Brachyseps macrocercus	Black-striped skink
Callechelys catostoma	black-striped snake eel
Callosciurus nigrovittatus	black-striped squirrel
Notamacropus dorsalis	Black-striped wallaby
Mustela strigidorsa	black-striped weasel
Murexia melanurus	Black-tailed dasyure
Limosa limosa	black-tailed godwit
Mesocapromys melanurus	black-tailed hutia
Lepus californicus	black-tailed jackrabbit
Cynomys ludovicianus	black-tailed prairie dog
Trogon melanurus	black-tailed trogon
Pachycephala melanura	black-tailed whistler
Colinus nigrogularis	black-throated bobwhite
Anodonthyla nigrigularis	black-throated climbing frog
Anthracothorax nigricollis	black-throated mango
Soleichthys heterorhinos	black-tip sole
Dischistodus melanotus	black-vent damsel
Vireo altiloquus	black-whiskered vireo
Rhogeessa tumida	Black-winged little yellow bat
Montifringilla adamsi	black-winged snowfinch
Himantopus himantopus	black-winged stilt
Chaetodon melannotus	blackback butterflyfish
Percina nigrofasciata	blackbanded darter
Plectroglyphidodon dickii	blackbar devil
Pervagor janthinosoma	blackbar filefish
Bodianus speciosus	blackbar hogfish
Rhinecanthus aculeatus	blackbar triggerfish
Hemiramphus far	blackbarred halfbeak
Cheilodactylus zonatus	blackbarred morwong
Priolepis nocturna	blackbarred reefgoby
Lycodopsis pacificus	blackbelly eelpout
Etmopterus lucifer	blackbelly lanternshark
Elassodiscus caudatus	blackbelly snailfish
Symphurus strictus	blackbelly tonguesole
Rhinecanthus verrucosus	blackbelly triggerfish
Enneapterygius fuscoventer	blackbelly triplefin
Ostorhinchus nigrocincta	blackbelt cardinalfish
Turdus merula	blackbird
Sargocentron melanospilos	blackblotch squirrelfish
Antilope cervicapra	blackbuck
Sylvia atricapilla	blackcap
Illadopsis cleaveri	blackcap illadopsis
Gymnothorax breedeni	blackcheek moray
Symphurus plagiusa	blackcheek tonguefish
Glaucostegus cemiculus	blackchin guitarfish
Notropis heterodon	blackchin shiner
Sarotherodon melanotheron	blackchin tilapia
Synodus hoshinonis	blackear lizardfish
Halichoeres poeyi	blackear wrasse
Bathycongrus retrotinctus	blackedge conger
Genicanthus watanabei	blackedged angelfish
Sphyraena qenie	blackfin barracuda
Paragobiodon lacunicolus	blackfin coral goby
Ptereleotris evides	blackfin dartfish
Glyptocephalus stelleri	blackfin flounder
Coelorinchus caribbaeus	blackfin grenadier
Bodianus loxozonus	blackfin hogfish
Chaenocephalus aceratus	blackfin icefish
Bathyagonus nigripinnis	blackfin poacher
Alepes melanoptera	blackfin scad
Malacocottus kincaidi	blackfin sculpin
